Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-07-20,148.58,148.86,146.26,146.35,6415857.0,0.0,1.0,148.58,148.86,146.26,146.35,6415857.0
2018-07-19,147.85,150.54,147.25,149.24,14583811.0,0.0,1.0,147.85,150.54,147.25,149.24,14583811.0
2018-07-18,143.51,144.8,142.7351,144.52,6817140.0,0.0,1.0,143.51,144.8,142.7351,144.52,6817140.0
2018-07-17,144.75,145.0,143.34,143.49,5095234.0,0.0,1.0,144.75,145.0,143.34,143.49,5095234.0
2018-07-16,145.67,145.79,144.21,145.46,3468817.0,0.0,1.0,145.67,145.79,144.21,145.46,3468817.0
2018-07-13,146.45,146.9799,145.8,145.9,3067638.0,0.0,1.0,146.45,146.9799,145.8,145.9,3067638.0
2018-07-12,145.85,146.83,145.74,146.45,3117802.0,0.0,1.0,145.85,146.83,145.74,146.45,3117802.0
2018-07-11,144.0,146.19,144.0,144.94,3480960.0,0.0,1.0,144.0,146.19,144.0,144.94,3480960.0
2018-07-10,144.51,145.59,144.255,144.71,3775080.0,0.0,1.0,144.51,145.59,144.255,144.71,3775080.0
2018-07-09,142.59,144.72,142.47,144.39,3901282.0,0.0,1.0,142.59,144.72,142.47,144.39,3901282.0
2018-07-06,141.53,142.94,141.17,142.48,2910426.0,0.0,1.0,141.53,142.94,141.17,142.48,2910426.0
2018-07-05,140.48,141.43,139.93,141.43,3744730.0,0.0,1.0,140.48,141.43,139.93,141.43,3744730.0
2018-07-03,140.65,140.94,139.3678,139.57,1963232.0,0.0,1.0,140.65,140.94,139.3678,139.57,1963232.0
2018-07-02,138.28,140.22,138.2,139.86,3405612.0,0.0,1.0,138.28,140.22,138.2,139.86,3405612.0
2018-06-29,140.32,141.359,139.61,139.7,3753684.0,0.0,1.0,140.32,141.359,139.61,139.7,3753684.0
2018-06-28,138.1,140.54,137.945,140.04,4523456.0,0.0,1.0,138.1,140.54,137.945,140.04,4523456.0
2018-06-27,139.11,139.78,137.45,137.48,4097588.0,0.0,1.0,139.11,139.78,137.45,137.48,4097588.0
2018-06-26,139.36,139.8499,138.33,139.08,4139455.0,0.0,1.0,139.36,139.8499,138.33,139.08,4139455.0
2018-06-25,140.4,140.4,138.28,138.79,8937085.0,0.0,1.0,140.4,140.4,138.28,138.79,8937085.0
2018-06-22,141.64,141.81,140.78,141.28,5979237.0,0.0,1.0,141.64,141.81,140.78,141.28,5979237.0
